"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 16:21:50 GMT 2025","Thu Aug 07 16:21:50 GMT 2025","428","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Thu Aug 07 16:21:40 GMT 2025","Thu Aug 07 16:21:42 GMT 2025","2547","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Thu Aug 07 16:22:42 GMT 2025","Thu Aug 07 16:22:53 GMT 2025","10743","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Thu Aug 07 16:23:09 GMT 2025","Thu Aug 07 16:23:26 GMT 2025","16800","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Thu Aug 07 16:21:34 GMT 2025","Thu Aug 07 16:22:30 GMT 2025","55344","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Aug 07 16:22:14 GMT 2025","Thu Aug 07 16:23:17 GMT 2025","62996","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Thu Aug 07 16:21:47 GMT 2025","Thu Aug 07 16:21:49 GMT 2025","2789","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Thu Aug 07 16:21:34 GMT 2025","Thu Aug 07 16:22:41 GMT 2025","67189","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Thu Aug 07 16:21:45 GMT 2025","Thu Aug 07 16:21:45 GMT 2025","614","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Thu Aug 07 16:21:45 GMT 2025","Thu Aug 07 16:21:50 GMT 2025","4810","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Thu Aug 07 16:21:42 GMT 2025","Thu Aug 07 16:21:46 GMT 2025","3890","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Aug 07 16:21:43 GMT 2025","Thu Aug 07 16:21:44 GMT 2025","627","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Thu Aug 07 16:21:51 GMT 2025","Thu Aug 07 16:21:51 GMT 2025","476","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Thu Aug 07 16:22:13 GMT 2025","Thu Aug 07 16:22:45 GMT 2025","31682","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Aug 07 16:21:49 GMT 2025","Thu Aug 07 16:21:50 GMT 2025","200","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Thu Aug 07 16:21:51 GMT 2025","Thu Aug 07 16:21:52 GMT 2025","504","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Thu Aug 07 16:22:13 GMT 2025","Thu Aug 07 16:23:07 GMT 2025","54119","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Aug 07 16:19:09 GMT 2025","Thu Aug 07 16:20:03 GMT 2025","54357","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Aug 07 16:22:47 GMT 2025","Thu Aug 07 16:23:18 GMT 2025","30788","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Aug 07 16:21:40 GMT 2025","Thu Aug 07 16:21:43 GMT 2025","3005","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Aug 07 16:21:50 GMT 2025","Thu Aug 07 16:21:51 GMT 2025","464","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Thu Aug 07 16:21:34 GMT 2025","Thu Aug 07 16:22:43 GMT 2025","69189","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
