"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 06 23:37:41 GMT 2025","Wed Aug 06 23:37:46 GMT 2025","4720","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Wed Aug 06 23:37:45 GMT 2025","Wed Aug 06 23:37:45 GMT 2025","312","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Wed Aug 06 23:37:35 GMT 2025","Wed Aug 06 23:37:38 GMT 2025","3067","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Wed Aug 06 23:37:13 GMT 2025","Wed Aug 06 23:38:08 GMT 2025","55109","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Aug 06 23:37:40 GMT 2025","Wed Aug 06 23:37:41 GMT 2025","652","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Wed Aug 06 23:38:04 GMT 2025","Wed Aug 06 23:38:31 GMT 2025","26940","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Aug 06 23:36:58 GMT 2025","Wed Aug 06 23:38:24 GMT 2025","86466","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Wed Aug 06 23:38:08 GMT 2025","Wed Aug 06 23:38:27 GMT 2025","18275","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Aug 06 23:37:39 GMT 2025","Wed Aug 06 23:37:40 GMT 2025","448","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Wed Aug 06 23:36:58 GMT 2025","Wed Aug 06 23:38:16 GMT 2025","78395","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Aug 06 23:38:21 GMT 2025","Wed Aug 06 23:38:30 GMT 2025","9613","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Wed Aug 06 23:37:38 GMT 2025","Wed Aug 06 23:37:42 GMT 2025","4249","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Aug 06 23:37:35 GMT 2025","Wed Aug 06 23:37:38 GMT 2025","2583","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Wed Aug 06 23:34:59 GMT 2025","Wed Aug 06 23:35:56 GMT 2025","56169","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Aug 06 23:37:45 GMT 2025","Wed Aug 06 23:37:45 GMT 2025","118","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Wed Aug 06 23:37:46 GMT 2025","Wed Aug 06 23:37:47 GMT 2025","439","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Wed Aug 06 23:37:35 GMT 2025","Wed Aug 06 23:37:42 GMT 2025","7046","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed Aug 06 23:37:42 GMT 2025","Wed Aug 06 23:37:51 GMT 2025","8269","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Wed Aug 06 23:37:46 GMT 2025","Wed Aug 06 23:37:46 GMT 2025","552","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Wed Aug 06 23:38:18 GMT 2025","Wed Aug 06 23:38:38 GMT 2025","19293","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Wed Aug 06 23:37:13 GMT 2025","Wed Aug 06 23:38:20 GMT 2025","67117","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Wed Aug 06 23:37:46 GMT 2025","Wed Aug 06 23:37:47 GMT 2025","572","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Wed Aug 06 23:37:42 GMT 2025","Wed Aug 06 23:37:45 GMT 2025","2689","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Wed Aug 06 23:37:38 GMT 2025","Wed Aug 06 23:37:39 GMT 2025","671","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Wed Aug 06 23:36:58 GMT 2025","Wed Aug 06 23:38:02 GMT 2025","64233","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Aug 06 23:37:11 GMT 2025","Wed Aug 06 23:37:16 GMT 2025","4640","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
